This file was created by CMPT_ME_BEME_RETS_DAILY using the 202003 CRSP database.,,,,
The Tbill return is the simple daily rate that, over the number of trading days,,,
in the month, compounds to 1-month TBill rate from Ibbotson and Associates Inc.,,,
,,,,
,Mkt-RF,SMB,HML,RF
20170224,0.15,0.04,-0.92,0.002
20170227,0.22,0.82,-0.34,0.002
20170228,-0.42,-1.37,0.2,0.002
20170301,1.47,0.43,0.72,0.001
20170302,-0.7,-0.54,-0.89,0.001
20170303,0.09,-0.22,0.15,0.001
20170306,-0.38,-0.35,-0.1,0.001
20170307,-0.36,-0.29,-0.05,0.001
20170308,-0.19,-0.11,-0.82,0.001
20170309,0.04,-0.46,-0.28,0.001
20170310,0.34,0.09,-0.39,0.001
20170313,0.13,0.33,-0.02,0.001
20170314,-0.36,-0.23,0.02,0.001
20170315,0.86,0.73,-0.41,0.001
20170316,-0.06,0.45,0.24,0.001
20170317,-0.08,0.62,-0.26,0.001
20170320,-0.25,-0.07,-0.75,0.001
20170321,-1.48,-1.34,-0.69,0.001
20170322,0.16,-0.3,-0.54,0.001
20170323,-0.03,0.69,0.46,0.001
20170324,-0.05,0.13,-0.24,0.001
20170327,-0.05,0.56,-0.52,0.001
20170328,0.72,-0.15,0.71,0.001
20170329,0.18,0.4,-0.07,0.001
20170330,0.36,0.33,0.93,0.001
20170331,-0.16,0.58,-0.3,0.001
20170403,-0.28,-1.1,-0.11,0.003
20170404,0.05,-0.22,0.31,0.003
20170405,-0.44,-0.79,-0.3,0.003
20170406,0.32,0.69,0.49,0.003
20170407,-0.08,0.13,-0.26,0.003
20170410,0.08,0.1,0.1,0.003
20170411,-0.05,0.8,0.25,0.003
20170412,-0.49,-0.84,-0.52,0.003
20170413,-0.75,-0.24,-0.79,0.003
20170417,0.89,0.24,0.22,0.003
20170418,-0.25,0.35,-0.16,0.003
20170419,-0.08,0.59,-0.38,0.003
20170420,0.83,0.51,0.27,0.003
20170421,-0.28,0.1,-0.13,0.003
20170424,1.18,0.17,0.52,0.003
20170425,0.66,0.36,-0.05,0.003
20170426,0.04,0.71,0.32,0.003
20170427,0.05,-0.14,-0.96,0.003
20170428,-0.3,-0.67,-0.59,0.003
20170501,0.21,0.27,-0.13,0.003
20170502,0.03,-0.46,-0.21,0.003
20170503,-0.19,-0.54,0.2,0.003
20170504,0.02,-0.07,-0.35,0.003
20170505,0.46,0.07,0.04,0.003
20170508,-0.04,-0.25,0.29,0.003
20170509,-0.05,0.49,-0.79,0.003
20170510,0.21,0.2,0.01,0.003
20170511,-0.26,-0.36,-0.14,0.003
20170512,-0.18,-0.29,-0.62,0.003
20170515,0.53,0.26,0.19,0.003
20170516,-0.03,0.16,-0.09,0.003
20170517,-1.97,-0.89,-0.53,0.003
