Created on 04-26-2020,https://www.CryptoDataDownload.com,,,,,,
Date,Symbol,Open,High,Low,Close,Volume XRP,Volume USD
4/26/2020,XRPUSD,0.1944,0.1955,0.193,0.193,1812998.37,353254.49
4/25/2020,XRPUSD,0.1933,0.1981,0.1917,0.1944,6562127.02,1277725.64
4/24/2020,XRPUSD,0.1928,0.197,0.1925,0.1933,6825094.89,1327409.7
4/23/2020,XRPUSD,0.1882,0.1999,0.1858,0.1928,16212148.38,3138826.27
4/22/2020,XRPUSD,0.1834,0.1899,0.1822,0.1882,7687112.67,1436824.3
4/21/2020,XRPUSD,0.1818,0.1866,0.1815,0.1834,10212568.75,1879226.98
4/20/2020,XRPUSD,0.1892,0.1949,0.1785,0.1818,15996482.33,2983165.08
4/19/2020,XRPUSD,0.195,0.1963,0.1882,0.1892,8275182.94,1592109.58
4/18/2020,XRPUSD,0.1888,0.1974,0.1888,0.195,11006713.68,2122695.07
4/17/2020,XRPUSD,0.1909,0.192,0.1863,0.1888,8721175.32,1651370.14
4/16/2020,XRPUSD,0.1805,0.1935,0.1741,0.1909,21360941.4,3949119.63
4/15/2020,XRPUSD,0.1863,0.19,0.18,0.1805,12122762.52,2239325.95
4/14/2020,XRPUSD,0.1883,0.1895,0.1841,0.1863,8560701.09,1602234.68
4/13/2020,XRPUSD,0.1897,0.1898,0.1804,0.1883,15408007.36,2847705.65
4/12/2020,XRPUSD,0.189,0.1965,0.1866,0.1897,10676162.76,2054885.24
4/11/2020,XRPUSD,0.1878,0.1925,0.1853,0.189,8308967.73,1566981.57
4/10/2020,XRPUSD,0.1989,0.1989,0.1816,0.1878,16827886.95,3173230.54
4/9/2020,XRPUSD,0.2021,0.2025,0.194,0.1989,9375577.09,1865480.67
4/8/2020,XRPUSD,0.1929,0.2029,0.1916,0.2021,11370768.27,2258466.72
4/7/2020,XRPUSD,0.1984,0.2054,0.1897,0.1929,23361845.99,4643396.03
4/6/2020,XRPUSD,0.1796,0.1986,0.1796,0.1984,23339646.19,4440450.22
4/5/2020,XRPUSD,0.1816,0.1825,0.1763,0.1796,4889310.03,876405.09
4/4/2020,XRPUSD,0.1795,0.184,0.1779,0.1816,8307070.59,1498884.56
4/3/2020,XRPUSD,0.1785,0.183,0.1759,0.1795,9169612.37,1647791.73
4/2/2020,XRPUSD,0.1756,0.1867,0.1747,0.1785,17508919.65,3135432.63
4/1/2020,XRPUSD,0.1737,0.1766,0.1681,0.1756,15757202.04,2720937.96
3/31/2020,XRPUSD,0.1714,0.1783,0.1706,0.1737,12797192.1,2240142.58
3/30/2020,XRPUSD,0.1626,0.1759,0.162,0.1714,18392951.82,3138324.56
3/29/2020,XRPUSD,0.1757,0.1769,0.162,0.1626,19685829.11,3316539.31
3/28/2020,XRPUSD,0.1729,0.1803,0.1665,0.1757,34021077.87,5849860.19
3/27/2020,XRPUSD,0.1768,0.1877,0.1699,0.1729,39004808.96,6917967.59
